# This file is used to translate between channel ID, wire ID, and geometry.
#
# channel: channel ID
# plane: plane number (0 == U, 1 == V, 2 == Z)
# wire: wire ID on that plane
# sx, sy, sz: starting (x,y,z) position of the wire in cm
# ex, ey, ez: ending (x,y,z) position of the wire in cm
#
# channel   plane   wire    sx  sy  sz  ex  ey  ez
0 0 0 -0.0225 111.993 50.8929 -0.0225 113.142 49.7157
1 0 1 -0.0225 111.312 50.8929 -0.0225 113.142 49.0172
2 0 2 -0.0225 110.63 50.8929 -0.0225 113.142 48.3187
3 0 3 -0.0225 109.949 50.8929 -0.0225 113.142 47.6201
4 0 4 -0.0225 109.267 50.8929 -0.0225 113.142 46.9216
5 0 5 -0.0225 108.586 50.8929 -0.0225 113.142 46.2231
6 0 6 -0.0225 107.904 50.8929 -0.0225 113.142 45.5246
7 0 7 -0.0225 107.223 50.8929 -0.0225 113.142 44.8261
8 0 8 -0.0225 106.541 50.8929 -0.0225 113.142 44.1276
9 0 9 -0.0225 105.86 50.8929 -0.0225 113.142 43.429
10 0 10 -0.0225 105.178 50.8929 -0.0225 113.142 42.7305
11 0 11 -0.0225 104.497 50.8929 -0.0225 113.142 42.032
12 0 12 -0.0225 103.815 50.8929 -0.0225 113.142 41.3335
13 0 13 -0.0225 103.134 50.8929 -0.0225 113.142 40.635
14 0 14 -0.0225 102.452 50.8929 -0.0225 113.142 39.9365
15 0 15 -0.0225 101.77 50.8929 -0.0225 113.142 39.2379
16 0 16 -0.0225 101.089 50.8929 -0.0225 113.142 38.5394
17 0 17 -0.0225 100.407 50.8929 -0.0225 113.142 37.8409
18 0 18 -0.0225 99.7258 50.8929 -0.0225 113.142 37.1424
19 0 19 -0.0225 99.0443 50.8929 -0.0225 113.142 36.4439
20 0 20 -0.0225 98.3628 50.8929 -0.0225 113.142 35.7454
21 0 21 -0.0225 97.6812 50.8929 -0.0225 113.142 35.0468
22 0 22 -0.0225 96.9997 50.8929 -0.0225 113.142 34.3483
23 0 23 -0.0225 96.3182 50.8929 -0.0225 113.142 33.6498
24 0 24 -0.0225 95.6366 50.8929 -0.0225 113.142 32.9513
25 0 25 -0.0225 94.9551 50.8929 -0.0225 113.142 32.2528
26 0 26 -0.0225 94.2736 50.8929 -0.0225 113.142 31.5543
27 0 27 -0.0225 93.592 50.8929 -0.0225 113.142 30.8558
28 0 28 -0.0225 92.9105 50.8929 -0.0225 113.142 30.1572
29 0 29 -0.0225 92.229 50.8929 -0.0225 113.142 29.4587
30 0 30 -0.0225 91.5474 50.8929 -0.0225 113.142 28.7602
31 0 31 -0.0225 90.8659 50.8929 -0.0225 113.142 28.0617
32 0 32 -0.0225 90.1844 50.8929 -0.0225 113.142 27.3632
33 0 33 -0.0225 89.5028 50.8929 -0.0225 113.142 26.6647
34 0 34 -0.0225 88.8213 50.8929 -0.0225 113.142 25.9661
35 0 35 -0.0225 88.1398 50.8929 -0.0225 113.142 25.2676
36 0 36 -0.0225 87.4582 50.8929 -0.0225 113.142 24.5691
