#OpDet OpChannel  X	 Y	 Z
0      4	  -11.4545	-28.625 990.356
1      2	  -11.4175  27.607	 989.712
2      5	  -11.7755	 -56.514 951.865
3      0	 -11.6415	 55.313	 951.861
4      6	 -12.0585 	 -56.309 911.939
5      1	 -11.8345 	 55.822	 911.066
6      3	 -12.1765 	 -0.722	 865.598
7      9	 -12.3045 	 -0.502	 796.208
8      11	 -12.6045	 -56.284 751.905
9      7	 -12.5405 	 55.625	 751.884
10     12	  -12.6125	 -56.408 711.274
11     8	  -12.6615	 55.8	 711.073
12     10	  -12.6245	 -0.051	 664.203
13     15	  -12.6515	 -0.549	 585.284
14     13	  -12.8735	 55.822	 540.929
15     17	  -12.6205	 -56.205 540.616
16     18	  -12.5945	 -56.323 500.221
17     14	  -12.9835	 55.771	 500.134
18     16	  -12.6185	 -0.875	 453.096
19     21	  -13.0855	 -0.706	 373.839
20     23	  -12.6485	 -57.022 328.341
21     19	  -13.1865	 54.693	 328.212
22     20	  -13.4175	 54.646	 287.976
23     24	  -13.0075	 -56.261 287.639
24     22	  -13.1505	 -0.829	 242.014
25     28	  -13.4415	 -0.303	 173.743
26     25	  -13.3965	 55.249	 128.355
27     30	  -13.2784	  -56.203 128.179
28     31	  -13.2375	 -56.615 87.8695
29     26	  -13.5415	 55.249	 87.7605
30     27	  -13.4345	 27.431	 51.1015
31     29	  -13.1525	 -28.576 50.4745
